Property,Parameter,Event Number,Event Name,Parameter Value
Density,Prior distribution type,1,Sed,Gaussian
Density,Prior distribution paramter 1,1,Sed,2.328
Density,Prior distribution paramter 2,1,Sed,0.189
Density,Prior distribution type,1,Felsic,Gaussian
Density,Prior distribution paramter 1,1,Felsic,2.386
Density,Prior distribution paramter 2,1,Felsic,0.149
Density,Prior distribution type,1,Mafic,Gaussian
Density,Prior distribution paramter 1,1,Mafic,2.531
Density,Prior distribution paramter 2,1,Mafic,0.106
Density,Prior distribution type,1,Intrusive,Gaussian
Density,Prior distribution paramter 1,1,Intrusive,2.64396
Density,Prior distribution paramter 2,1,Intrusive,0.193
Plunge Direction,Prior distribution type,2,Stratigraphy Tilting,Uniform
Plunge Direction,Prior distribution paramter 1,2,Stratigraphy Tilting,300
Plunge Direction,Prior distribution paramter 2,2,Stratigraphy Tilting,330
Rotation,Prior distribution type,2,Stratigraphy Tilting,Uniform
Rotation,Prior distribution paramter 1,2,Stratigraphy Tilting,0
Rotation,Prior distribution paramter 2,2,Stratigraphy Tilting,1
X, Prior distribution type, 3,Fault,Uniform
X, Prior distribution paramter 1, 3,Fault,4331.994787
X, Prior distribution paramter 2, 3,Fault,4591.994787
Y, Prior distribution type, 3,Fault,Uniform
Y, Prior distribution paramter 1, 3,Fault,4433.337688
Y, Prior distribution paramter 2, 3,Fault,4693.337688
Z, Prior distribution type, 3,Fault,Uniform
Z, Prior distribution paramter 1, 3,Fault,3870.0
Z, Prior distribution paramter 2, 3,Fault,4130.0
XAxis, Prior distribution type, 3,Fault,Uniform
XAxis, Prior distribution paramter 1, 3,Fault,2083.72109945
XAxis, Prior distribution paramter 2, 3,Fault,2303.0601625500003
YAxis, Prior distribution type, 3,Fault,Uniform
YAxis, Prior distribution paramter 1, 3,Fault,2083.72109945
YAxis, Prior distribution paramter 2, 3,Fault,2303.0601625500003
ZAxis, Prior distribution type, 3,Fault,Uniform
ZAxis, Prior distribution paramter 1, 3,Fault,2083.72109945
ZAxis, Prior distribution paramter 2, 3,Fault,2303.0601625500003
Dip, Prior distribution type, 3,Fault,Uniform
Dip, Prior distribution paramter 1, 3,Fault,60
Dip, Prior distribution paramter 2, 3,Fault,80
Dip Direction, Prior distribution type, 3,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 3,Fault,273.128382
Dip Direction, Prior distribution paramter 2, 3,Fault,293.128382
Slip, Prior distribution type, 3,Fault,Uniform
Slip, Prior distribution paramter 1, 3,Fault,140.377
Slip, Prior distribution paramter 2, 3,Fault,175.47125
X, Prior distribution type, 4,Fault,Uniform
X, Prior distribution paramter 1, 4,Fault,5385.357891
X, Prior distribution paramter 2, 4,Fault,5645.357891
Y, Prior distribution type, 4,Fault,Uniform
Y, Prior distribution paramter 1, 4,Fault,6460.549121
Y, Prior distribution paramter 2, 4,Fault,6720.549121
Z, Prior distribution type, 4,Fault,Uniform
Z, Prior distribution paramter 1, 4,Fault,3870.0
Z, Prior distribution paramter 2, 4,Fault,4130.0
XAxis, Prior distribution type, 4,Fault,Uniform
XAxis, Prior distribution paramter 1, 4,Fault,855.9266461499999
XAxis, Prior distribution paramter 2, 4,Fault,946.0241878500001
YAxis, Prior distribution type, 4,Fault,Uniform
YAxis, Prior distribution paramter 1, 4,Fault,855.9266461499999
YAxis, Prior distribution paramter 2, 4,Fault,946.0241878500001
ZAxis, Prior distribution type, 4,Fault,Uniform
ZAxis, Prior distribution paramter 1, 4,Fault,855.9266461499999
ZAxis, Prior distribution paramter 2, 4,Fault,946.0241878500001
Dip, Prior distribution type, 4,Fault,Uniform
Dip, Prior distribution paramter 1, 4,Fault,60
Dip, Prior distribution paramter 2, 4,Fault,80
Dip Direction, Prior distribution type, 4,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 4,Fault,264.598885
Dip Direction, Prior distribution paramter 2, 4,Fault,284.598885
Slip, Prior distribution type, 4,Fault,Uniform
Slip, Prior distribution paramter 1, 4,Fault,57.66242640000001
Slip, Prior distribution paramter 2, 4,Fault,72.078033
X, Prior distribution type, 5,Fault,Uniform
X, Prior distribution paramter 1, 5,Fault,1469.6785
X, Prior distribution paramter 2, 5,Fault,1729.6785
Y, Prior distribution type, 5,Fault,Uniform
Y, Prior distribution paramter 1, 5,Fault,7022.79
Y, Prior distribution paramter 2, 5,Fault,7282.79
Z, Prior distribution type, 5,Fault,Uniform
Z, Prior distribution paramter 1, 5,Fault,3870.0
Z, Prior distribution paramter 2, 5,Fault,4130.0
XAxis, Prior distribution type, 5,Fault,Uniform
XAxis, Prior distribution paramter 1, 5,Fault,2252.1068904
XAxis, Prior distribution paramter 2, 5,Fault,2489.1707736000003
YAxis, Prior distribution type, 5,Fault,Uniform
YAxis, Prior distribution paramter 1, 5,Fault,2252.1068904
YAxis, Prior distribution paramter 2, 5,Fault,2489.1707736000003
ZAxis, Prior distribution type, 5,Fault,Uniform
ZAxis, Prior distribution paramter 1, 5,Fault,2252.1068904
ZAxis, Prior distribution paramter 2, 5,Fault,2489.1707736000003
Dip, Prior distribution type, 5,Fault,Uniform
Dip, Prior distribution paramter 1, 5,Fault,60
Dip, Prior distribution paramter 2, 5,Fault,80
Dip Direction, Prior distribution type, 5,Fault,Uniform
Dip Direction, Prior distribution paramter 1, 5,Fault,300.356734
Dip Direction, Prior distribution paramter 2, 5,Fault,320.356734
Slip, Prior distribution type, 5,Fault,Uniform
Slip, Prior distribution paramter 1, 5,Fault,151.7208856
Slip, Prior distribution paramter 2, 5,Fault,189.651107
X, Prior distribution type, 6,Fault,Uniform
X, Prior distribution paramter 1, 6,Fault,1976.937327
X, Prior distribution paramter 2, 6,Fault,2236.937327
Y, Prior distribution type, 6,Fault,Uniform
Y, Prior distribution paramter 1, 6,Fault,4595.888623
Y, Prior distribution paramter 2, 6,Fault,4855.888623
Z, Prior distribution type, 6,Fault,Uniform
Z, Prior distribution paramter 1, 6,Fault,3870.0
Z, Prior distribution paramter 2, 6,Fault,4130.0
XAxis, Prior distribution type, 6,Fault,Uniform
XAxis, Prior distribution paramter 1, 6,Fault,4336.1794775
XAxis, Prior distribution paramter 2, 6,Fault,4792.6194225
YAxis, Prior distribution type, 6,Fault,Uniform
