WellName,X_m,Y_m,Z_m
88-19,319583.8607,4383040.084,1215.673464
88-19,319583.8644,4383040.081,1217.182224
88-19,319583.9313,4383040.041,1244.33076
88-19,319583.8495,4383040.09,1211.13804
88-19,319583.883,4383040.07,1224.726024
88-19,319583.8756,4383040.075,1221.7146
88-19,319583.8532,4383040.088,1212.637656
88-19,319583.8476,4383040.091,1210.3608
88-19,319583.8718,4383040.077,1220.202792
88-19,319583.8886,4383040.067,1226.999832
88-19,319583.8514,4383040.089,1211.890896
88-19,319583.9463,4383040.032,1250.414568
88-19,319583.87,4383040.078,1219.440792
88-19,319583.8662,4383040.08,1217.932032
88-19,319583.9257,4383040.045,1242.084384
88-19,319583.8923,4383040.065,1228.508592
88-19,319583.8681,4383040.079,1218.694032
88-19,319583.9519,4383040.029,1252.706664
88-19,319583.8588,4383040.085,1214.908416
88-19,319583.9914,4383040.005,1268.739144
88-19,319583.9016,4383040.059,1232.285064
88-19,319583.8737,4383040.076,1220.9526
88-19,319583.896,4383040.062,1230.017352
88-19,319583.9689,4383040.019,1259.61648
88-19,319583.9071,4383040.056,1234.534488
88-19,319583.9034,4383040.058,1233.031824
88-19,319583.9294,4383040.042,1243.587048
88-19,319583.8997,4383040.06,1231.526112
88-19,319583.9633,4383040.022,1257.327432
88-19,319583.8904,4383040.066,1227.743544
88-19,319583.8551,4383040.087,1213.396608
88-19,319583.857,4383040.086,1214.161656
88-19,319583.9425,4383040.035,1248.881424
88-19,319583.9783,4383040.013,1263.44172
88-19,319583.9841,4383040.01,1265.761248
88-19,319583.9727,4383040.016,1261.143528
88-19,319583.9746,4383040.015,1261.91772
88-19,319583.8811,4383040.071,1223.97012
88-19,319583.8625,4383040.082,1216.420224
88-19,319583.8941,4383040.064,1229.255352
88-19,319583.8774,4383040.074,1222.46136
88-19,319583.9053,4383040.057,1233.796872
88-19,319583.9708,4383040.018,1260.387624
88-19,319583.9859,4383040.008,1266.517152
88-19,319583.8793,4383040.072,1223.22336
88-19,319583.9331,4383040.04,1245.083616
88-19,319583.909,4383040.055,1235.299536
88-19,319583.9202,4383040.048,1239.816672
88-19,319583.9652,4383040.021,1258.086384
88-19,319583.9146,4383040.051,1237.567248
88-19,319583.9388,4383040.037,1247.37876
88-19,319583.95,4383040.03,1251.95076
88-19,319583.9931,4383040.004,1269.437136
88-19,319583.8979,4383040.061,1230.776304
88-19,319583.9276,4383040.043,1242.834192
88-19,319583.935,4383040.039,1245.845616
88-19,319583.9183,4383040.049,1239.076008
88-19,319583.9878,4383040.007,1267.2822
88-19,319583.9614,4383040.023,1256.547144
88-19,319583.9896,4383040.006,1268.022864
88-19,319583.9802,4383040.012,1264.215912
88-19,319583.922,4383040.047,1240.578672
88-19,319583.9239,4383040.046,1241.325432
88-19,319583.8867,4383040.068,1226.234784
88-19,319583.9671,4383040.02,1258.860576
88-19,319583.9538,4383040.028,1253.483904
88-19,319583.9406,4383040.036,1248.128568
88-19,319583.9369,4383040.038,1246.60152
88-19,319583.9557,4383040.027,1254.242856
88-19,319583.9821,4383040.011,1264.977912
